"name",amount
"ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM",60500000
"BHARAT RASHTRA SAMITHI",12147099000
"BHARTIYA JANTA PARTY",60605111000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14218655000
"SHIVSENA (POLITICAL PARTY)",1583814000
"YSR CONGRESS PARTY (YUVAJANA SRAMIKA R",3370000000
"DMK PARTY IN PARLIAMENT",6390000000
"TELUGU DESAM PARTY",2188800000
"ALL INDIA TRINAMOOL CONGRESS",16095314000
"BIHAR PRADESH JANTA DAL(UNITED)",140000000
"SHIROMANI AKALI DAL",72600000
"ADYAKSHA SAMAJVADI PARTY",140500000
"AAM AADMI PARTY",654500000
"BIJU JANATA DAL",7755000000
"NATIONALIST CONGRESS PARTY PARLIAMENT OF",305000000
"SHIVSENA",10000000
"RASTRIYA JANTA DAL",725000000
"SIKKIM KRANTIKARI MORCHA",365000000
"JANASENA PARTY",210000000
"JHARKHAND MUKTI MORCHA",135000000
"JANATA DAL ( SECULAR )",435000000
"RASHTRIYA JANTA DAL",10000000
"SIKKIM DEMOCRATIC FRONT",55000000
"JAMMU AND KASHMIR NATIONAL CONFERENCE",5000000
"NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH",5000000
"GOA FORWARD PARTY",3500000
"MAHARASHTRAWADI GOMNTAK PARTY",5500000
